mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Eirunepé,130140,AM,"84,9%","57,1%","29,8%","35,0%","22,8%","39,5%","0,3%","0,06","2,31","0,07","0,08","35,5%","0,0%","0,0%","0,0%","0,0%","42,1%","1,86","85,0%","88,6%","68,7%","1,49","42,9%","67,5%","16,7%","16,3%",GH6,N
Envira,130150,AM,"59,2%","45,4%","19,5%","43,7%","28,7%","29,9%","1,7%","0,20","1,51","0,10","0,12","38,3%","0,0%","0,0%","0,0%","0,0%","57,8%",,"100,0%","100,0%","85,9%","8,99","30,3%","63,2%","12,5%","14,0%",GH6,N
Fonte Boa,130160,AM,"54,1%","59,6%","29,1%","39,9%","22,5%","12,0%","0,1%","0,06","5,95","0,14","0,07","35,1%","0,0%","0,0%","0,0%","0,0%","36,3%",,"100,0%","88,9%","75,4%","2,93","21,3%","57,7%","15,4%","15,1%",GH4,N
Guajará,130165,AM,"79,9%","62,2%","23,9%","36,9%","26,3%","30,4%","0,0%","0,13","5,85","0,21","0,27","37,3%","0,0%","0,0%","0,0%","0,0%","50,1%","1,47","80,0%","68,8%","81,1%","15,01","39,9%","69,5%","16,7%","17,2%",GH6,N
Humaitá,130170,AM,"56,1%","61,2%","50,4%","25,7%","16,2%","53,8%","1,4%","0,43","2,43","1,22","0,30","40,0%","0,0%","0,0%","0,0%","0,0%","61,3%",,"84,8%","89,2%","81,5%","1,44","11,8%","53,2%","19,0%","17,1%",GH4,N
Ipixuna,130180,AM,"47,3%","22,5%","25,7%","58,3%","11,1%","28,2%","0,1%","0,08","2,53","0,28","0,07","37,1%","0,0%","0,0%","0,0%","0,0%","33,2%","1,38","50,0%","9,1%","42,2%","0,00","8,4%","73,8%","19,8%","15,2%",GH6,N
Iranduba,130185,AM,"135,4%","114,8%","34,8%","38,8%","18,9%","57,3%","2,0%","0,19","3,03","0,23","0,24","34,5%","0,0%","0,0%","0,0%","0,0%","47,6%",,"75,6%","80,6%","124,3%","2,48","7,2%","57,6%","13,4%","11,4%",GH4,N
Itacoatiara,130190,AM,"72,9%","63,4%","40,1%","36,9%","16,4%","66,1%","0,7%","0,20","3,09","0,25","0,15","36,7%","0,0%","0,0%","0,0%","0,0%","40,1%","1,72","81,7%","95,9%","103,1%","1,87","14,0%","62,3%","18,5%","18,0%",GH4,N
Itamarati,130195,AM,"74,7%","52,9%","46,6%","17,8%","18,2%","28,2%","0,4%","0,01","2,33","0,17","0,17","36,0%","0,0%","0,0%","0,0%","0,0%","47,9%",,"100,0%","57,1%","106,1%","0,00","15,0%","69,8%","16,7%","14,9%",GH6,N
Itapiranga,130200,AM,"143,3%","82,3%","45,9%","36,3%","14,8%","79,4%","1,0%","0,31","2,48","0,40","0,04","34,9%","0,0%","0,0%","0,0%","0,0%","49,4%",,"81,3%","100,0%","101,1%","2,71","13,5%","65,9%","15,1%","14,9%",GH6,N
Japurá,130210,AM,"123,5%","123,5%","14,4%","36,9%","35,6%","34,9%","0,0%","0,01","0,56","0,03","0,06","37,1%","0,0%","0,0%","0,0%","0,0%","43,5%",,,"0,0%","106,7%","6,11","21,4%","77,9%","14,7%","15,6%",GH6,N
Juruá,130220,AM,"16,2%","43,9%","16,3%","33,9%","30,0%","18,7%","0,6%","0,22","1,95","0,01","0,08","34,5%","0,0%","0,0%","0,0%","0,0%","48,0%",,"0,0%","0,0%","90,7%","1,52","22,7%","64,7%","18,3%","14,9%",GH6,N
Jutaí,130230,AM,"55,7%","15,3%","14,2%","56,6%","22,0%","16,7%","0,3%","0,15","2,00","0,14","0,05","36,0%","0,0%","0,0%","0,0%","0,0%","38,6%","2,06","50,0%","84,6%","67,8%","0,00","15,8%","76,4%","19,6%","15,4%",GH6,N
Lábrea,130240,AM,"53,2%","38,6%","24,5%","45,7%","23,9%","47,7%","0,4%","0,25","1,57","0,10","0,02","38,4%","0,0%","0,0%","0,0%","0,0%","63,1%",,"92,9%","83,7%","85,5%","0,11","51,1%","65,8%","14,9%","14,6%",GH6,N
Manacapuru,130250,AM,"74,3%","39,5%","32,7%","40,4%","17,7%","31,2%","2,1%","0,22","2,81","0,23","0,21","30,2%","0,0%","0,0%","0,0%","0,0%","29,4%",,"80,2%","82,0%","100,8%","0,18","27,5%","61,9%","16,8%","15,8%",GH4,N
Manaquiri,130255,AM,"39,5%","17,5%","41,8%","41,0%","12,4%","46,9%","3,6%","0,01","1,54","0,04","0,03","32,5%","0,0%","0,0%","0,0%","0,0%","60,0%",,"100,0%","57,1%","176,1%","3,13","41,0%","64,4%","15,2%","14,0%",GH6,N
Manaus,130260,AM,"39,2%","18,8%","36,5%","41,4%","15,3%","41,5%","29,1%","1,19","3,35","5,93","2,65","50,8%","0,7%","0,2%","0,1%","0,0%","29,5%","2,83","76,4%","83,1%","90,9%","0,58","4,2%","46,9%","10,2%","14,7%",GH1,N
Manicoré,130270,AM,"47,3%","30,5%","22,5%","42,3%","19,9%","35,2%","0,5%","0,18","2,97","0,17","0,16","39,4%","0,0%","0,0%","0,0%","0,0%","38,1%",,"73,1%","72,7%","104,7%","2,36","18,9%","65,9%","19,6%","11,4%",GH4,N
Maraã,130280,AM,"17,3%","17,3%","27,2%","35,3%","20,9%","20,2%","0,7%","0,00","4,78","0,06","0,06","36,2%","0,0%","0,0%","0,0%","0,0%","52,6%",,"100,0%","91,7%","57,0%","1,75","26,8%","71,4%","12,5%","14,0%",GH6,N
Maués,130290,AM,"69,0%","56,4%","29,1%","31,9%","22,4%","38,2%","0,6%","0,21","1,97","0,17","0,14","38,2%","0,0%","0,0%","0,0%","0,0%","42,7%","0,83","83,3%","76,7%","79,6%","1,63","18,6%","74,8%","18,8%","15,9%",GH4,N
Nhamundá,130300,AM,"41,0%","41,0%","16,4%","56,1%","22,3%","50,7%","0,5%","0,14","1,66","0,01","0,04","38,0%","0,0%","0,0%","0,0%","0,0%","45,0%",,"88,9%","88,9%","92,1%","1,09","23,1%","69,9%","17,5%","15,5%",GH6,N
Nova Olinda do Norte,130310,AM,"97,5%","47,1%","18,3%","61,9%","6,1%","39,5%","0,2%","0,12","2,45","0,08","0,19","38,1%","0,0%","0,0%","0,0%","0,0%","53,2%","2,64","100,0%","72,2%","84,8%","0,42","33,2%","68,2%","21,5%","15,9%",GH4,N
Novo Airão,130320,AM,"55,8%","38,9%","26,8%","42,0%","22,5%","37,5%","0,3%","0,11","1,02","0,22","0,05","37,9%","0,0%","0,0%","0,0%","0,0%","52,2%",,"66,7%","88,9%","60,9%","0,00","0,0%","58,1%","16,9%","14,0%",GH6,N
Novo Aripuanã,130330,AM,"53,8%","39,7%","15,5%","41,7%","28,7%","36,6%","0,0%","0,16","2,53","0,02","0,02","35,4%","0,0%","0,0%","0,0%","0,0%","37,6%",,"87,5%","81,3%","77,5%","6,95","11,4%","63,8%","16,1%","15,7%",GH6,N
Parintins,130340,AM,"67,5%","35,3%","25,5%","44,0%","25,9%","26,7%","0,2%","0,22","3,16","0,55","0,14","34,4%","0,0%","0,0%","0,0%","0,0%","27,1%","2,35","85,5%","85,9%","95,6%","0,27","19,8%","65,2%","20,5%","10,5%",GH4,N
Pauini,130350,AM,"41,8%","28,0%","16,6%","59,9%","18,2%","17,6%","0,2%","0,13","2,70","0,29","0,19","39,4%","0,0%","0,0%","0,0%","0,0%","53,9%","2,91","75,0%","88,2%","72,3%","7,18","0,0%","77,9%","16,5%","14,8%",GH6,N
Presidente Figueiredo,130353,AM,"91,6%","91,7%","46,6%","37,9%","10,9%","40,8%","3,6%","0,06","3,02","0,24","0,43","34,5%","0,0%","0,0%","0,0%","0,0%","28,4%","1,28","67,6%","82,9%","125,4%","2,70","13,7%","46,3%","17,5%","8,7%",GH3,N
Rio Preto da Eva,130356,AM,"132,0%","132,3%","32,6%","41,9%","14,1%","53,9%","2,1%","0,13","2,38","0,30","0,50","37,9%","0,0%","0,0%","0,0%","0,0%","40,8%",,"78,9%","70,0%","150,3%","3,17","17,0%","63,7%","15,1%","13,2%",GH6,N
Santa Isabel do Rio Negro,130360,AM,"36,0%","35,6%","15,4%","47,2%","33,2%","37,1%","0,3%","0,01","1,04","0,11","0,02","34,4%","0,0%","0,0%","0,0%","0,0%","53,8%",,"94,1%","100,0%","70,3%","0,76","15,1%","77,5%","18,0%","14,0%",GH6,N
Santo Antônio do Içá,130370,AM,"26,0%","24,5%","59,9%","23,3%","10,4%","22,6%","0,0%","0,09","1,48","0,06","0,14","37,5%","0,0%","0,0%","0,0%","0,0%","46,0%",,"7,7%","40,0%","98,6%","0,14","25,3%","79,1%","12,5%","14,0%",GH6,N
São Gabriel da Cachoeira,130380,AM,"47,1%","57,6%","15,0%","25,0%","39,6%","45,8%","0,2%","0,03","1,89","0,06","0,06","26,4%","0,0%","0,0%","0,0%","0,0%","45,9%","0,96","85,5%","80,0%","63,7%","0,34","6,4%","80,2%","16,7%","13,2%",GH6,N
São Paulo de Olivença,130390,AM,"35,8%","32,9%","6,4%","18,9%","65,0%","33,9%","0,0%","0,05","2,52","0,07","0,06","38,2%","0,0%","0,0%","0,0%","0,0%","41,9%",,"75,0%",,"85,2%","3,00","43,3%","85,9%","16,4%","13,2%",GH6,N
São Sebastião do Uatumã,130395,AM,"112,3%","112,3%","58,9%","28,3%","9,9%","65,6%","0,5%","0,14","2,03","0,05","0,12","37,1%","0,0%","0,0%","0,0%","0,0%","62,2%",,"80,0%","100,0%","101,1%","3,52","20,8%","59,5%","16,7%","15,4%",GH6,N
Silves,130400,AM,"136,2%","136,2%","39,9%","48,6%","8,9%","21,8%","0,5%","0,20","3,49","0,05","0,14","38,2%","0,0%","0,0%","0,0%","0,0%","70,7%",,"50,0%","33,3%","114,1%","5,17","17,2%","78,8%","18,7%","14,9%",GH6,N
Tabatinga,130406,AM,"54,4%","56,3%","27,5%","42,0%","24,6%","17,5%","0,1%","0,06","1,75","0,92","0,15","37,8%","0,0%","0,0%","0,0%","0,0%","36,6%","0,59","81,4%","100,0%","82,3%","1,68","9,5%","79,8%","18,2%","16,3%",GH4,N
Tapauá,130410,AM,"91,7%","91,7%","33,3%","36,1%","24,9%","52,8%","3,0%","0,02","2,01","0,10","0,07","35,9%","0,0%","0,0%","0,0%","0,0%","28,7%",,"69,2%","87,1%","93,1%","6,35","9,5%","54,2%","16,7%","14,0%",GH6,N
Tefé,130420,AM,"71,9%","41,5%","26,8%","45,8%","19,9%","45,6%","28,2%","0,14","3,25","1,17","0,33","36,3%","0,0%","0,0%","0,0%","0,0%","38,1%","1,07","85,0%","85,7%","107,7%","0,26","22,7%","69,4%","11,9%","14,1%",GH4,N
Tonantins,130423,AM,"136,3%","35,2%","31,4%","47,1%","15,1%","34,8%","0,0%","0,07","1,42","0,01","0,11","37,0%","0,0%","0,0%","0,0%","0,0%","29,7%",,"81,5%","0,0%","106,4%","2,89","0,0%","79,3%","12,5%","14,0%",GH6,N
Uarini,130426,AM,"96,6%","21,0%","21,6%","49,5%","19,9%","40,1%","0,8%","0,07","0,61","0,06","0,04","39,2%","0,0%","0,0%","0,0%","0,0%","50,9%",,"87,5%","90,5%","112,1%","0,00","37,9%","58,4%","16,7%","14,9%",GH6,N
Urucará,130430,AM,"116,0%","104,3%","44,7%","36,4%","14,6%","42,7%","0,4%","0,30","2,44","0,10","0,02","39,0%","0,0%","0,0%","0,0%","0,0%","36,3%",,"76,9%","88,5%","131,3%","5,22","9,1%","68,8%","17,6%","15,4%",GH6,N
Urucurituba,130440,AM,"107,2%","67,7%","24,0%","53,6%","16,5%","30,3%","0,1%","0,09","0,85","0,13","0,09","36,3%","0,0%","0,0%","0,0%","0,0%","55,7%",,"77,8%","66,7%","67,2%","0,83","26,2%","68,1%","16,7%","14,0%",GH6,N
Amajari,140002,RR,"99,1%","49,1%","10,6%","37,5%","36,9%","88,7%","4,4%","0,06","2,70","0,64","0,58","34,1%","0,0%","0,0%","0,0%","0,0%","26,4%",,"83,3%","58,3%","40,9%","0,08","5,4%","79,4%","18,8%","15,4%",GH6,N
Alto Alegre,140005,RR,"116,2%","107,5%","18,8%","33,3%","34,4%","150,4%","2,3%","0,12","5,11","1,19","0,83","37,2%","0,0%","0,0%","0,0%","0,0%","36,2%","1,66","90,9%","62,5%","75,9%","0,07","9,1%","80,3%","15,4%","15,7%",GH6,N
Boa Vista,140010,RR,"52,2%","29,1%","49,3%","36,0%","11,7%","62,2%","6,5%","0,95","5,26","7,64","2,45","42,1%","0,2%","0,0%","0,3%","0,0%","31,2%","2,43","85,6%","80,6%","102,1%","0,03","7,8%","52,8%","14,9%","19,1%",GH2,N
Bonfim,140015,RR,"172,9%","153,0%","20,3%","38,2%","30,5%","104,0%","1,7%","0,11","4,07","1,05","0,46","36,4%","0,0%","0,0%","0,0%","0,0%","39,8%","2,52","60,0%","75,0%","64,4%","1,44","33,3%","74,1%","19,3%","17,2%",GH6,N
Cantá,140017,RR,"88,3%","63,5%","23,7%","42,3%","26,7%","74,8%","2,5%","0,06","4,16","1,07","0,90","39,1%","0,0%","0,0%","0,0%","0,0%","38,2%","3,65","100,0%","68,2%","63,7%","0,00","80,9%","66,0%","18,1%","15,9%",GH6,N
Caracaraí,140020,RR,"98,8%","91,1%","22,7%","47,5%","23,7%","75,8%","1,4%","0,10","3,50","0,98","1,18","35,8%","0,0%","0,0%","0,0%","0,0%","34,3%","2,08","100,0%","76,9%","122,8%","2,40","0,8%","64,6%","12,7%","15,3%",GH6,N
Caroebe,140023,RR,"73,9%","73,9%","48,6%","40,8%","8,6%","88,1%","1,8%","0,05","5,38","1,17","0,77","37,4%","0,0%","0,0%","0,0%","0,0%","37,9%",,"100,0%","82,4%","103,2%","0,95","17,1%","61,4%","15,1%","14,9%",GH6,N
Iracema,140028,RR,"154,3%","139,8%","32,0%","42,4%","18,4%","55,7%","3,7%","0,04","2,47","0,79","0,99","34,8%","0,0%","0,0%","0,0%","0,0%","29,0%",,"33,3%","70,0%","65,6%","0,69","16,0%","63,7%","21,4%","15,9%",GH6,N
Mucajaí,140030,RR,"115,9%","101,3%","39,6%","42,1%","14,9%","93,9%","3,3%","0,18","4,75","1,38","0,83","38,5%","0,0%","0,0%","0,0%","0,0%","35,7%",,"62,5%","94,4%","100,0%","0,05","5,3%","54,7%","17,1%","18,1%",GH6,N
Normandia,140040,RR,"112,9%","121,9%","14,9%","33,5%","37,6%","70,7%","1,7%","0,03","7,86","0,53","0,89","34,9%","0,0%","0,0%","0,0%","0,0%","52,8%",,"85,7%","40,0%","93,7%","0,00","26,3%","75,9%","20,4%","15,3%",GH6,N
Pacaraima,140045,RR,"114,9%","114,9%","30,2%","42,5%","21,1%","92,1%","2,6%","0,04","7,14","0,79","1,29","37,4%","0,0%","0,0%","0,0%","0,0%","38,7%","2,46","66,7%","28,6%","98,6%","0,42","3,1%","67,7%","17,0%","15,8%",GH6,N
Rorainópolis,140047,RR,"61,6%","23,4%","36,1%","47,2%","13,2%","69,0%","0,9%","0,04","3,69","0,71","0,92","33,7%","0,0%","0,0%","0,0%","0,0%","34,0%","1,60","60,0%","87,0%","105,4%","0,13","11,1%","60,5%","13,8%","15,4%",GH6,N
São João da Baliza,140050,RR,"88,5%","88,5%","52,2%","39,1%","8,2%","75,3%","2,0%","0,06","8,24","1,02","1,58","37,3%","0,0%","0,0%","0,0%","0,0%","49,5%",,"75,0%","91,3%","115,5%","0,00","19,1%","57,8%","14,6%","15,9%",GH6,N
São Luiz,140060,RR,"129,6%","88,9%","43,2%","43,6%","11,4%","42,7%","4,1%","0,26","5,20","1,25","0,56","34,5%","0,0%","0,0%","0,0%","0,0%","43,8%",,"75,0%","77,8%","89,0%","0,00","1,1%","62,5%","14,3%","14,9%",GH6,N
Uiramutã,140070,RR,"78,8%","12,3%","6,0%","29,7%","46,5%","123,6%","1,9%","0,06","3,92","0,75","0,48","36,7%","0,0%","0,0%","0,0%","0,0%","31,9%",,"80,0%",,"72,5%","0,06","0,0%","79,0%","24,2%","15,9%",GH6,N
Abaetetuba,150010,PA,"38,3%","25,7%","32,9%","57,5%","7,5%","35,9%","0,8%","0,10","6,79","0,81","0,87","31,2%","0,0%","0,0%","0,0%","0,0%","43,4%","1,56","86,9%","90,7%","95,0%","0,12","22,6%","46,8%","26,5%","17,0%",GH4,N
Abel Figueiredo,150013,PA,"128,8%","128,8%","33,8%","55,0%","9,5%","50,9%","2,5%","0,58","10,44","1,79","1,18","38,3%","0,0%","0,0%","0,0%","0,0%","55,1%",,"66,7%","80,0%","89,1%","0,00","9,1%","65,2%","17,1%","14,5%",GH6,N
Acará,150020,PA,"32,5%","31,2%","22,3%","50,3%","20,1%","16,2%","0,1%","0,01","4,03","0,37","0,62","39,6%","0,0%","0,0%","0,0%","0,0%","39,2%","0,88","72,2%","89,6%","126,9%","0,13","0,3%","61,2%","20,2%","15,7%",GH4,N
Afuá,150030,PA,"8,6%","8,6%","11,5%","38,4%","32,3%","6,7%","0,0%","0,14","3,76","0,31","0,15","34,1%","0,0%","0,0%","0,0%","0,0%","44,8%","5,78","100,0%","60,0%","86,3%","0,51","50,7%","76,8%","22,9%","20,4%",GH6,N
Água Azul do Norte,150034,PA,"59,9%","46,9%","30,0%","45,7%","22,9%","10,8%","0,0%","0,16","7,66","1,02","0,39","36,9%","0,0%","0,0%","0,0%","0,0%","59,0%",,"75,0%","65,8%","144,8%","0,67","20,1%","39,9%","23,0%","15,1%",GH4,N
Alenquer,150040,PA,"14,7%","12,3%","36,7%","46,1%","14,2%","71,9%","0,5%","0,20","7,62","0,58","0,37","44,0%","0,0%","0,0%","0,0%","0,0%","39,6%","0,86","92,3%","80,9%","67,1%","0,20","25,1%","76,2%","18,8%","21,8%",GH4,N
Almeirim,150050,PA,"25,7%","8,9%","28,5%","43,4%","22,9%","37,6%","0,6%","0,13","4,31","0,40","0,68","34,6%","0,0%","0,0%","0,0%","0,0%","40,0%",,"70,6%","82,8%","101,3%","0,21","24,6%","62,1%","19,3%","15,3%",GH4,N
Altamira,150060,PA,"36,2%","33,6%","28,4%","46,6%","20,0%","39,5%","7,1%","1,11","10,34","2,92","0,78","38,9%","0,0%","0,1%","0,2%","0,0%","35,3%","1,17","71,2%","86,5%","101,9%","0,46","4,1%","48,5%","20,5%","17,6%",GH4,N
Anajás,150070,PA,"36,3%","24,2%","9,5%","46,3%","26,4%","41,8%","0,1%","0,04","3,92","0,37","0,35","38,6%","0,0%","0,0%","0,0%","0,0%","41,2%",,"88,9%","80,8%","104,4%","0,48","14,7%","76,6%","19,1%","14,7%",GH6,N
Ananindeua,150080,PA,"60,8%","18,2%","48,9%","41,0%","8,3%","40,1%","2,5%","0,63","7,45","2,43","1,46","48,9%","0,0%","0,0%","0,0%","0,0%","45,7%","2,17","79,3%","83,9%","80,3%","0,09","10,4%","43,1%","18,5%","18,0%",GH2,N
Anapu,150085,PA,"52,5%","56,1%","27,7%","52,2%","16,2%","2,6%","4,7%","0,34","5,01","1,45","0,66","38,9%","0,0%","0,0%","0,0%","0,0%","41,6%","2,34","84,6%","85,5%","101,5%","0,99","20,2%","54,6%","17,5%","15,2%",GH6,N
Augusto Corrêa,150090,PA,"82,2%","54,9%","20,6%","55,7%","19,6%","46,2%","0,7%","0,01","7,47","0,57","0,32","32,8%","0,0%","0,0%","0,0%","0,0%","35,2%","4,64","75,0%","72,7%","84,1%","1,10","29,7%","66,1%","14,7%","18,6%",GH4,N
Aurora do Pará,150095,PA,"40,0%","25,4%","27,4%","54,6%","12,5%","2,1%","1,1%","0,02","6,21","0,60","0,43","35,1%","0,0%","0,0%","0,0%","0,0%","46,7%","1,38","100,0%","78,9%","95,0%","0,01","26,2%","55,5%","22,6%","15,2%",GH6,N
Aveiro,150100,PA,"24,6%","1,1%","23,6%","52,5%","21,4%","37,7%","0,0%","0,03","0,68","0,27","0,18","38,2%","0,0%","0,0%","0,0%","0,0%","35,4%","1,83","50,0%","55,6%","79,7%","0,00","45,1%","73,2%","19,2%","14,0%",GH6,N
Bagre,150110,PA,"34,2%","5,9%","16,0%","49,4%","15,9%","8,1%","3,4%","0,08","1,06","0,21","0,79","38,6%","0,0%","0,0%","0,0%","0,0%","33,0%",,"42,9%","57,1%","78,9%","0,00","23,6%","79,6%","18,4%","16,6%",GH6,N
Baião,150120,PA,"34,3%","41,2%","38,8%","43,8%","15,3%","60,3%","0,4%","0,13","3,54","0,18","0,46","39,3%","0,0%","0,0%","0,0%","0,0%","48,2%",,"57,1%","86,4%","106,1%","0,05","18,9%","54,6%","18,8%","15,5%",GH4,N
Bannach,150125,PA,"80,1%","80,1%","36,6%","46,2%","14,5%","2,5%","1,0%","0,09","14,94","1,24","0,28","35,9%","0,0%","0,0%","0,0%","0,0%","43,7%",,"80,0%","60,0%","119,2%","0,00","1,6%","40,2%","18,3%","14,9%",GH6,N
Barcarena,150130,PA,"44,8%","13,1%","50,3%","35,5%","8,3%","72,2%","14,4%","0,09","3,67","0,90","1,32","38,9%","0,0%","0,0%","0,0%","0,0%","37,8%","2,11","69,4%","78,0%","109,5%","0,41","13,8%","43,2%","20,5%","17,9%",GH3,N
Belém,150140,PA,"30,9%","11,8%","59,8%","31,1%","7,0%","31,9%","12,5%","1,22","4,11","3,76","1,97","46,3%","0,3%","0,8%","1,2%","0,8%","39,1%","1,61","77,8%","86,9%","90,3%","0,20","2,5%","31,6%","19,6%","18,7%",GH1,N
Belterra,150145,PA,"91,9%","59,7%","34,3%","51,1%","12,3%","76,0%","2,1%","0,32","5,70","1,39","0,60","39,3%","0,0%","0,0%","0,0%","0,0%","52,3%","1,99","80,0%","88,9%","116,7%","0,76","37,1%","70,4%","18,3%","18,0%",GH6,N
Benevides,150150,PA,"101,7%","57,9%","38,0%","55,0%","5,5%","58,1%","3,1%","0,04","5,28","1,46","1,12","37,4%","0,0%","0,0%","0,0%","0,0%","43,1%","3,28","52,7%","72,9%","94,9%","0,76","16,7%","36,1%","20,7%","16,1%",GH3,N
Bom Jesus do Tocantins,150157,PA,"118,1%","59,0%","24,5%","65,2%","9,0%","28,8%","1,5%","0,66","8,33","1,19","0,34","38,5%","0,0%","0,0%","0,0%","0,0%","51,8%",,"100,0%","92,7%","108,9%","0,53","0,0%","58,9%","19,9%","15,9%",GH6,N
Bonito,150160,PA,"112,5%","71,5%","24,2%","59,9%","11,1%","6,2%","0,6%","0,02","3,46","0,57","0,39","36,3%","0,0%","0,0%","0,0%","0,0%","44,2%","3,66","33,3%","80,0%","92,0%","0,00","34,8%","41,2%","19,0%","15,7%",GH6,N
Bragança,150170,PA,"41,6%","33,8%","22,9%","50,0%","20,5%","29,0%","5,6%","0,24","9,31","1,32","0,60","43,0%","0,0%","0,0%","0,2%","0,0%","27,4%","8,51","71,8%","82,2%","87,0%","0,23","20,6%","62,0%","15,6%","18,3%",GH4,N
Brasil Novo,150172,PA,"83,5%","90,2%","51,8%","33,7%","12,0%","23,6%","12,1%","0,68","15,12","2,08","0,61","35,6%","0,0%","0,0%","0,0%","0,0%","52,3%",,"100,0%","73,3%","127,1%","1,66","7,0%","54,2%","20,6%","11,4%",GH4,N
Brejo Grande do Araguaia,150175,PA,"41,1%","41,0%","28,5%","59,8%","10,8%","0,9%","0,2%","0,45","6,87","1,15","0,74","34,4%","0,0%","0,0%","0,0%","0,0%","58,9%",,"50,0%","62,5%","104,5%","0,01","20,6%","58,0%","17,3%","14,9%",GH6,N
Breu Branco,150178,PA,"16,3%","11,4%","26,1%","48,2%","23,4%","0,6%","2,4%","0,12","3,13","0,84","0,39","34,1%","0,0%","0,0%","0,0%","0,0%","43,9%","4,45","38,7%","72,2%","83,0%","0,74","20,0%","55,0%","17,4%","18,0%",GH6,N
Breves,150180,PA,"22,1%","12,9%","13,3%","43,9%","24,7%","51,8%","0,3%","0,22","3,40","0,48","0,53","32,9%","0,0%","0,0%","0,1%","0,0%","30,9%","1,43","84,1%","88,1%","97,7%","0,00","27,6%","75,0%","21,2%","18,3%",GH4,N
Bujaru,150190,PA,"58,2%","37,0%","19,7%","60,7%","8,5%","13,6%","4,6%","0,01","8,77","0,80","0,69","37,4%","0,0%","0,0%","0,0%","0,0%","44,6%",,"80,0%","93,5%","86,7%","0,00","4,4%","59,4%","20,8%","15,3%",GH4,N
Cachoeira do Piriá,150195,PA,"37,1%","3,8%","17,0%","52,7%","17,7%","11,2%","0,2%","0,01","2,09","0,23","0,22","35,6%","0,0%","0,0%","0,0%","0,0%","38,2%","2,25","57,1%","68,8%","88,6%","0,01","17,7%","53,3%","20,6%","17,2%",GH6,N
Cachoeira do Arari,150200,PA,"14,7%","14,7%","18,6%","55,1%","17,6%","26,0%","0,2%","0,00","5,11","0,40","0,61","36,7%","0,0%","0,0%","0,0%","0,0%","52,9%",,"57,1%","62,5%","82,2%","0,00","0,3%","66,9%","19,4%","15,6%",GH6,N
Cametá,150210,PA,"29,5%","19,3%","22,5%","53,0%","20,2%","19,9%","0,4%","0,00","4,67","0,33","0,50","35,0%","0,0%","0,0%","0,0%","0,0%","40,1%","1,76","74,6%","83,3%","99,8%","0,00","37,4%","58,2%","25,5%","16,0%",GH4,N
Canaã dos Carajás,150215,PA,"86,8%","68,3%","55,5%","32,7%","10,3%","27,3%","0,0%","0,01","3,50","0,45","0,76","34,4%","0,0%","0,0%","0,0%","0,0%","39,1%",,"64,3%","73,1%","105,8%","0,00","4,2%","39,5%","16,5%","17,7%",GH5,N
Capanema,150220,PA,"82,9%","38,8%","33,5%","53,2%","7,7%","32,7%","0,4%","0,02","6,73","0,99","0,65","37,3%","0,0%","0,0%","0,1%","0,0%","44,6%","1,15","80,6%","80,9%","99,7%","0,37","10,0%","39,7%","21,4%","19,0%",GH4,N
Capitão Poço,150230,PA,"26,4%","21,7%","19,1%","70,2%","8,4%","9,9%","0,5%","0,02","9,87","0,61","0,56","36,3%","0,0%","0,0%","0,0%","0,0%","65,6%",,"75,0%","82,5%","73,7%","0,02","23,8%","41,7%","17,5%","14,3%",GH4,N
Castanhal,150240,PA,"84,4%","40,8%","38,6%","54,5%","6,0%","64,2%","12,9%","0,81","4,65","4,24","1,06","32,4%","0,0%","0,1%","0,2%","0,0%","33,9%","3,02","83,5%","89,2%","91,5%","0,32","14,3%","21,7%","22,1%","16,2%",GH4,N
Chaves,150250,PA,"14,2%","14,2%","4,8%","26,4%","34,7%","8,0%","0,0%","0,00","0,49","0,19","0,21","34,5%","0,0%","0,0%","0,0%","0,0%","25,2%",,"80,0%","83,3%","81,3%","0,00","51,0%","78,2%","19,4%","14,0%",GH6,N
Colares,150260,PA,"132,6%","95,0%","27,3%","57,6%","12,1%","49,7%","0,7%","0,02","1,92","0,80","0,74","36,7%","0,0%","0,0%","0,0%","0,0%","43,9%","2,22","50,0%","100,0%","98,8%","0,00","12,7%","59,5%","16,0%","15,7%",GH6,N
Conceição do Araguaia,150270,PA,"67,3%","54,8%","31,5%","57,4%","9,5%","95,4%","0,3%","0,52","9,45","1,76","0,72","33,9%","0,0%","0,0%","0,0%","0,0%","34,1%","0,85","66,7%","74,1%","70,5%","0,69","11,7%","48,1%","21,5%","10,1%",GH4,N
Concórdia do Pará,150275,PA,"54,9%","53,2%","15,3%","63,6%","18,4%","0,3%","0,1%","0,04","2,90","0,52","0,73","37,0%","0,0%","0,0%","0,0%","0,0%","50,9%",,"80,0%","92,3%","135,2%","0,11","44,2%","58,9%","21,5%","17,2%",GH6,N
